"ReasonForAttending","Socialize","Tailgate","TakeSelfies","PostToSocialMedia","SeeFriends","VisitKidAttractions","MeetMascot","SnacksForKids","KidsRunBases","KidsSlide","GetDinner","EatParkFood","SampleFood","GetDrinks","DrinkBeer","BuyGear","TourThePark","VisitAttractions","WatchPregameShow","SeeTheChicken","UpgradeSeats","GetAutographs","WatchGame","SeePractice","MeetPlayers"
"Other Promotion",7,8,1,0,5,2,8,8,3,6,0,6,10,6,4,9,8,2,4,6,1,1,1,5,5
"No distinct reason",0,10,2,9,8,5,3,1,5,5,5,7,6,1,8,8,8,7,1,1,7,10,2,3,4
"See a concert",9,8,2,4,0,8,7,7,4,3,9,1,1,1,7,3,5,8,2,2,5,6,4,7,9
"Special Game",5,10,10,1,7,0,9,9,2,1,7,2,1,9,2,6,4,9,4,1,9,10,8,4,3
"Special Game",4,4,5,8,3,2,6,3,4,4,4,8,4,7,1,10,1,5,5,1,9,3,1,4,8
"Celebrate an anniversary",0,5,1,1,5,0,5,8,6,1,9,5,10,0,6,6,3,6,0,2,4,3,1,2,8
"No distinct reason",1,3,2,3,2,3,0,2,5,3,7,1,2,2,9,5,5,2,8,3,1,3,3,3,0
"Company outing",9,5,3,4,6,3,5,9,3,7,9,6,2,10,5,5,9,0,5,3,7,1,3,0,5
"Company outing",7,6,2,3,9,8,9,9,7,8,6,5,4,3,7,6,4,2,2,3,8,10,8,7,8
"Other Promotion",3,2,4,6,2,0,9,2,4,6,2,4,1,7,4,1,6,1,0,1,4,2,4,8,4
"No distinct reason",0,5,3,4,10,1,4,5,8,3,7,8,2,4,7,2,9,8,6,3,1,1,2,8,6
"Other Promotion",9,5,7,3,7,5,2,5,10,7,7,5,9,4,7,5,3,5,7,7,4,8,4,3,9
"Family outing, no children",4,7,1,10,0,6,0,8,9,2,3,8,6,6,5,2,6,7,4,1,2,5,2,6,9
"See my friends",3,6,3,2,5,5,10,2,7,7,4,6,10,7,3,5,3,3,2,8,2,7,3,4,8
"Visit the park",1,4,4,0,8,3,2,0,6,8,6,3,6,1,0,7,6,4,3,10,6,4,1,4,4
"Family outing, no children",5,7,7,5,6,1,7,6,10,4,7,1,3,1,2,2,7,8,3,9,5,5,7,7,7
"Support the Team",1,3,5,5,6,2,4,0,4,6,3,0,10,6,4,3,4,5,3,1,8,8,3,3,2
"See my friends",7,6,1,2,5,6,3,5,7,5,1,4,4,7,5,5,3,5,1,2,10,1,8,4,7
"Special Game",6,4,10,2,4,6,5,6,1,4,5,8,9,1,7,7,1,9,1,3,1,5,4,8,2
"Other Promotion",3,3,5,1,8,3,8,7,5,2,6,7,9,6,7,8,1,2,4,10,3,10,1,6,2
"Other Promotion",5,5,4,6,9,5,5,4,7,1,9,2,4,9,5,5,2,3,4,10,8,2,5,3,3
"See my friends",7,4,5,2,4,1,9,8,4,1,8,3,3,9,5,7,5,3,9,5,8,9,7,7,9
"Visit the park",3,4,9,3,8,3,9,4,5,1,2,7,0,8,0,6,3,10,10,10,8,2,2,4,9
"Other Promotion",9,3,1,0,1,9,4,2,5,4,5,4,6,9,1,1,7,7,4,5,6,6,8,4,8
"Celebrate an anniversary",6,8,4,4,1,6,8,2,3,2,1,9,1,1,5,4,2,9,9,2,6,4,6,1,5
"Support the Team",7,8,8,3,6,4,10,4,10,1,4,8,2,7,10,9,1,4,3,7,3,8,1,4,7
"Support the opposing team",0,8,4,3,8,7,3,1,4,6,2,2,5,6,2,4,2,6,7,9,7,9,3,3,4
"See my friends",2,5,0,6,10,0,7,1,2,6,9,2,7,9,5,1,4,9,1,5,8,5,7,3,7
"See my friends",0,1,8,9,7,7,1,5,5,10,3,5,6,9,7,2,10,1,3,10,3,8,2,8,7
"See a concert",1,8,2,5,1,3,9,1,10,6,2,5,2,7,2,5,7,6,0,9,3,2,5,2,9
"Celebrate an anniversary",6,3,5,1,9,3,7,7,10,8,4,6,10,2,9,2,8,3,6,2,9,2,8,3,7
"Family outing, no children",4,3,2,7,5,8,3,4,8,6,2,9,6,3,3,1,2,9,3,4,1,5,9,3,8
"Special Game",8,9,4,2,5,5,4,0,5,3,9,10,5,9,7,9,6,9,4,0,6,8,5,0,10
"See my friends",8,10,3,1,7,7,4,2,4,4,1,8,8,2,4,1,2,4,2,1,8,3,6,3,6
"See my friends",6,3,6,3,5,6,1,10,5,9,4,9,5,5,0,2,3,0,6,6,2,6,9,4,10
"Special Game",9,1,9,9,7,9,7,7,2,8,4,5,4,5,4,5,2,6,0,8,1,4,6,6,1
"Company outing",8,0,7,10,1,2,8,8,0,8,10,8,6,7,9,5,2,0,7,7,3,4,4,4,5
"See a concert",3,0,8,4,6,2,5,3,3,4,1,3,0,5,10,3,4,4,9,7,10,5,3,0,9
"No distinct reason",3,4,9,6,3,6,4,1,2,3,7,3,10,4,8,1,4,1,7,5,4,3,5,3,3
"I was given tickets",2,2,7,6,3,1,5,8,1,3,2,3,4,5,9,4,9,9,8,3,5,7,8,3,1
"Support the Team",4,4,5,4,4,1,9,7,10,8,5,5,8,1,9,1,7,7,1,6,2,4,7,7,0
"See my friends",1,10,5,5,2,7,5,10,6,1,1,7,1,1,4,5,7,1,2,2,3,2,3,3,3
"Support the Team",7,3,5,10,2,2,6,2,0,7,8,8,9,8,3,7,5,7,4,6,7,7,2,9,7
"See a concert",7,2,7,0,4,2,4,9,1,4,8,7,1,4,10,6,6,7,9,6,5,6,7,1,6
"Family outing, with children",1,4,0,4,9,1,3,7,8,1,1,3,3,9,4,7,7,3,3,10,7,7,2,2,7
"Support the opposing team",5,9,4,9,4,4,8,5,9,7,5,1,8,6,6,4,9,10,9,5,10,6,5,9,2
"See my friends",1,4,7,1,7,4,2,6,2,7,8,4,3,0,8,4,6,5,9,6,5,9,7,8,7
"Other Promotion",8,8,6,4,5,4,4,3,7,4,7,0,8,10,4,2,1,5,4,10,0,1,7,7,4
"Family outing, with children",8,9,9,8,4,4,8,1,2,4,1,6,1,4,7,9,8,10,3,8,9,8,8,8,6
"Family outing, with children",5,1,9,8,9,5,3,1,1,7,10,9,7,5,4,9,8,2,5,2,2,9,1,10,4
"Celebrate an anniversary",5,8,8,9,9,5,3,1,1,4,9,6,1,4,8,9,3,3,4,4,7,2,4,3,2
"Celebrate an anniversary",8,3,10,2,9,5,9,10,4,3,5,2,7,9,8,4,5,7,2,0,1,0,3,7,4
"Special Game",6,7,1,0,2,2,9,10,2,8,4,5,3,3,10,7,4,6,8,5,8,5,3,4,5
"Celebrate an anniversary",6,1,6,4,1,9,5,3,2,2,1,4,4,9,3,6,7,6,6,1,1,5,2,0,3
"Other Promotion",6,9,4,7,6,8,4,0,2,6,1,2,0,4,8,6,4,3,1,2,7,2,1,2,9
"Support the opposing team",5,6,9,4,8,7,7,2,6,9,3,5,9,6,1,6,8,4,0,2,2,4,1,7,0
"No distinct reason",5,2,9,10,3,2,5,1,1,6,4,4,2,6,4,4,2,8,1,2,7,9,2,7,9
"See a concert",2,7,7,5,9,5,6,4,7,7,5,8,0,7,10,7,8,1,3,10,2,7,7,0,7
"Special Game",3,2,2,5,9,1,8,4,1,10,1,1,3,3,9,4,4,4,8,8,9,2,8,8,5
"See my friends",10,9,3,2,4,1,10,10,0,4,9,5,5,2,9,9,1,1,10,6,1,8,9,10,9
"Visit the park",3,7,2,6,10,0,5,7,8,6,1,10,9,7,3,0,8,6,9,7,5,4,4,4,5
"See my friends",7,9,6,3,1,3,0,8,4,3,4,0,8,8,5,3,7,7,3,2,6,3,0,9,7
"Support the Team",2,3,7,4,1,9,5,4,9,10,4,9,4,10,2,6,3,5,6,6,2,4,5,2,6
"Support the Team",4,1,3,5,5,2,5,8,4,0,7,5,4,1,4,6,9,2,1,5,1,1,2,6,7
"Family outing, no children",7,5,2,4,3,3,3,9,1,8,3,8,3,3,5,5,8,2,3,7,5,1,1,7,1
"Family outing, no children",1,6,5,0,5,1,7,8,4,2,1,7,3,8,10,8,3,3,1,1,8,4,5,9,3
"Support the opposing team",10,6,2,1,7,6,8,6,9,9,1,8,4,7,3,7,7,3,9,8,8,8,4,8,6
"See my friends",2,8,2,3,3,0,7,6,9,8,3,0,10,10,2,9,0,3,5,7,2,1,7,1,6
"Family outing, no children",3,2,1,2,5,6,4,3,10,5,2,3,8,10,10,6,9,2,10,10,5,7,9,6,2
"No distinct reason",8,8,6,9,8,7,2,8,9,5,8,3,6,1,9,6,4,3,6,4,4,2,9,5,1
"Support the opposing team",8,6,10,9,5,2,9,6,2,6,2,5,2,9,0,6,6,2,3,3,8,3,5,7,1
"I was given tickets",9,7,9,4,5,10,5,7,8,10,5,7,6,10,5,1,4,10,10,4,7,2,1,7,8
"Visit the park",5,8,4,4,8,0,4,2,6,0,2,2,6,6,9,3,10,9,6,9,0,10,4,1,2
"Company outing",7,5,4,2,0,6,1,3,8,4,6,2,1,4,10,9,4,3,1,1,10,4,1,9,5
"See my friends",1,7,3,6,8,4,5,1,6,9,0,8,7,1,4,4,4,0,4,4,2,10,1,7,0
"Company outing",2,1,8,2,2,1,2,6,2,2,7,3,5,7,2,5,8,4,0,7,0,8,6,0,0
"See my friends",1,6,6,7,7,3,5,4,10,10,6,3,3,2,5,6,5,8,2,8,10,3,4,2,2
"Family outing, with children",3,5,8,2,3,1,2,4,7,10,1,4,8,1,1,3,6,4,7,1,8,1,2,5,1
"No distinct reason",5,3,7,3,1,2,2,9,5,7,2,2,0,1,5,10,4,4,10,8,5,5,8,5,2
"See a concert",7,6,4,9,0,0,9,3,6,7,1,4,1,6,6,1,1,9,3,4,6,9,2,1,3
"Celebrate a birthday",1,2,4,5,6,7,9,3,4,0,4,3,2,5,4,1,9,2,0,5,7,7,4,9,3
"Other Promotion",1,6,2,4,3,6,3,6,9,6,0,7,8,6,9,1,2,1,1,4,7,3,4,3,7
"Family outing, no children",2,3,5,2,4,10,7,3,0,1,4,3,5,0,0,8,9,2,2,8,5,4,9,6,6
"See my friends",7,7,0,10,0,5,6,4,5,9,7,6,4,9,4,10,6,7,8,7,2,2,9,10,6
"Celebrate a birthday",2,0,1,7,7,3,4,10,8,8,1,5,3,9,4,2,10,5,9,6,1,1,10,7,10
"Support the opposing team",5,6,7,7,0,3,8,7,3,1,8,6,5,10,10,4,7,3,6,5,2,7,2,4,1
"Celebrate a birthday",8,1,7,6,1,3,9,9,5,2,3,8,6,1,5,8,3,0,9,5,9,3,4,6,10
"Support the opposing team",10,7,5,8,4,5,3,5,5,4,7,0,10,0,5,8,7,6,1,8,2,0,1,9,3
"Support the opposing team",7,9,4,4,7,3,5,2,3,8,5,8,1,4,8,5,4,6,3,2,8,6,3,8,2
"Other Promotion",9,3,9,4,3,4,1,3,2,9,7,8,3,6,3,3,6,7,9,3,7,1,9,5,9
"Support the opposing team",2,1,8,10,2,4,3,2,6,4,9,4,0,9,3,1,10,7,3,2,3,1,7,1,4
"Support the Team",2,2,5,4,6,2,3,8,3,3,7,3,5,4,3,8,7,2,7,3,6,5,9,6,5
"Family outing, no children",6,7,6,9,9,2,1,2,8,6,3,2,4,7,5,2,6,8,6,5,0,7,1,6,2
"Celebrate a birthday",1,8,0,4,1,4,7,8,1,9,2,0,5,8,5,1,3,0,5,9,2,2,8,3,7
"No distinct reason",2,8,4,6,3,1,7,3,1,7,6,6,6,5,8,10,5,5,5,0,8,5,1,4,0
"Visit the park",8,5,0,3,5,3,3,0,4,2,6,8,8,2,6,2,9,8,1,5,1,1,9,8,6
"Support the opposing team",0,3,1,5,9,7,8,7,7,2,6,8,2,7,4,7,4,9,7,7,2,8,6,2,7
"See a concert",6,7,5,2,3,5,8,1,6,5,2,7,3,3,6,3,5,2,8,6,5,6,5,7,9
"Company outing",2,1,4,3,5,10,7,9,1,2,5,8,4,9,4,1,2,1,9,7,3,1,7,8,4
"Family outing, no children",4,5,5,10,8,7,9,7,9,5,1,4,9,7,3,2,2,6,9,3,5,9,5,3,1
"Other Promotion",6,1,9,1,2,3,8,7,0,1,3,1,0,10,5,3,5,3,1,3,5,1,8,8,3
"Company outing",2,0,6,7,2,8,4,7,10,8,1,0,1,8,7,1,2,5,6,5,7,1,0,4,2
"Other Promotion",9,9,4,5,3,2,7,2,6,1,4,5,3,0,3,9,0,2,8,9,5,2,8,1,2
"Support the opposing team",1,7,8,1,1,9,3,0,1,0,4,4,0,6,8,5,4,3,1,5,8,7,3,1,1
"See a concert",5,4,3,7,0,7,2,0,1,1,5,1,0,8,3,2,4,5,6,4,1,5,1,8,2
"Celebrate a birthday",6,1,3,4,1,9,5,5,4,2,3,9,9,7,5,3,1,6,0,1,4,4,8,1,4
"Visit the park",5,3,3,1,3,7,8,6,4,9,8,1,7,8,2,7,7,5,1,3,1,1,9,4,2
"Company outing",7,0,2,2,9,2,2,5,7,6,8,0,3,9,4,8,5,9,4,4,9,1,2,9,2
"No distinct reason",8,0,7,7,7,4,2,4,8,5,8,6,0,1,2,8,1,8,5,5,7,8,8,8,5
"Celebrate an anniversary",3,1,3,4,2,8,1,5,1,9,1,7,8,5,6,3,8,4,0,4,7,10,5,9,4
"Other Promotion",10,8,6,5,9,5,4,9,2,4,2,8,3,2,8,7,2,6,3,3,5,4,9,6,9
"See my friends",2,8,8,6,3,8,3,4,4,1,3,6,3,5,1,1,6,5,2,1,1,9,5,2,8
"Special Game",5,1,2,7,4,5,10,9,4,10,7,6,1,9,1,3,0,9,7,10,10,0,4,7,5
"No distinct reason",9,1,9,5,2,5,2,5,5,4,3,5,9,3,7,3,2,7,2,1,9,7,4,9,2
"Company outing",6,6,3,2,2,1,5,4,4,7,7,3,3,9,1,7,6,6,9,8,9,4,7,8,3
"Support the opposing team",9,2,9,1,3,8,1,5,1,8,2,4,6,4,8,4,8,10,10,7,5,0,8,4,7
"Other Promotion",4,4,4,8,9,3,7,9,9,8,3,10,3,4,3,5,7,6,1,2,2,1,5,2,2
"Other Promotion",5,6,7,5,7,0,9,7,3,10,0,4,7,0,2,3,4,0,2,2,9,2,10,4,9
"Family outing, with children",1,3,1,1,1,9,9,7,1,2,10,8,6,2,3,1,10,6,4,5,5,1,7,5,6
"See a concert",3,2,4,6,4,2,4,3,4,10,9,9,9,2,8,1,7,9,8,7,5,7,2,2,7
"I was given tickets",9,10,1,9,2,7,0,1,7,7,5,3,4,8,3,7,3,6,6,7,8,3,2,10,10
"See a concert",8,8,3,0,7,1,2,0,0,8,5,8,4,5,0,8,8,6,3,2,4,5,10,7,4
"Other Promotion",2,9,2,10,10,3,9,8,10,5,6,4,8,5,8,5,7,7,7,2,4,7,2,2,9
"Company outing",3,1,9,0,5,0,6,5,8,2,4,3,4,8,8,0,2,9,10,7,6,1,4,5,10
"See a concert",8,0,10,4,7,5,6,6,7,9,8,10,9,8,0,9,3,2,8,7,9,4,9,0,5
"Family outing, no children",6,5,9,5,1,7,9,6,3,6,8,8,3,8,9,0,10,5,10,4,1,5,9,6,8
"Support the opposing team",7,3,5,7,6,7,8,4,3,3,3,7,4,7,3,1,10,4,5,9,6,5,6,7,4
"Other Promotion",3,9,10,1,0,7,8,4,6,2,9,2,3,8,5,0,0,7,3,1,2,5,8,2,4
"I was given tickets",8,3,5,3,8,3,7,3,9,1,2,3,0,1,8,7,8,8,4,9,6,2,4,5,2
"Celebrate a birthday",5,4,1,2,0,0,0,8,1,5,1,7,8,7,5,0,1,2,3,4,4,6,6,2,1
"Family outing, no children",9,7,4,8,0,2,3,8,6,8,6,6,1,8,8,1,2,2,6,6,2,9,4,1,7
"See my friends",2,2,3,3,7,4,1,2,5,1,5,5,5,6,5,7,1,5,1,9,8,1,9,6,6
"Company outing",4,9,6,8,5,9,3,2,2,9,3,4,1,3,0,5,10,8,9,6,4,4,1,0,5
"Celebrate a birthday",3,5,5,1,0,3,4,6,3,6,6,2,6,2,3,7,2,2,1,2,8,1,3,3,4
"Celebrate a birthday",8,0,0,4,3,8,4,2,7,3,8,1,5,5,7,1,3,10,6,7,2,7,4,7,5
"I was given tickets",6,8,9,6,8,6,2,6,0,3,6,6,9,7,3,0,9,2,7,3,9,5,4,1,8
"Visit the park",2,5,1,3,9,8,3,5,10,6,4,2,1,6,1,4,5,7,0,3,5,8,8,8,4
"Support the opposing team",7,0,9,5,9,1,9,0,7,2,6,8,10,3,4,0,7,0,7,1,2,8,1,3,3
"See a concert",10,3,3,10,8,0,2,7,3,2,5,9,5,10,9,2,4,4,6,7,2,3,6,10,7
"Other Promotion",5,2,3,1,3,2,7,1,4,9,1,7,3,0,8,7,3,5,1,1,7,3,0,6,5
"Other Promotion",9,4,1,7,6,1,7,1,5,5,7,7,9,2,9,0,5,6,3,7,2,0,1,5,10
"Support the opposing team",3,8,7,2,1,5,5,4,7,2,1,5,7,2,7,6,5,6,6,9,3,7,9,2,6
"Family outing, no children",3,5,9,5,10,0,0,3,5,2,5,1,1,1,6,6,4,7,7,7,4,3,2,0,10
"Family outing, no children",7,1,2,4,6,3,9,8,1,7,5,7,8,7,3,3,9,9,5,5,9,4,6,9,2
"No distinct reason",4,9,6,9,5,7,7,4,2,1,4,7,2,6,7,9,5,3,9,8,2,3,7,6,3
"Support the opposing team",5,3,8,5,2,6,1,0,7,0,3,2,2,1,10,2,5,5,7,9,9,9,7,6,7
"Support the opposing team",9,1,8,9,8,10,10,1,4,0,2,6,3,7,8,5,3,5,5,5,8,3,7,0,1
"Company outing",6,7,3,8,6,7,4,0,1,2,2,3,5,9,9,0,0,5,6,1,8,4,9,9,1
"Special Game",7,5,10,1,10,5,6,0,2,6,2,6,9,1,8,8,4,3,8,1,3,2,0,5,6
"Special Game",1,3,8,7,4,0,3,6,8,10,4,2,1,9,1,5,4,3,9,7,4,1,9,3,7
"Support the opposing team",6,5,1,5,8,9,8,7,8,2,0,10,7,4,8,4,8,5,3,2,5,8,5,2,2
"Celebrate an anniversary",8,9,8,1,6,6,0,4,9,8,9,3,1,5,0,2,6,4,0,7,9,2,1,6,1
"I was given tickets",7,8,2,4,5,5,9,0,2,9,8,8,0,8,3,2,3,6,3,7,3,3,7,4,1
"Visit the park",1,5,10,8,8,9,9,4,6,3,1,3,3,1,9,0,3,6,1,3,7,9,5,6,2
"Special Game",4,9,5,7,9,7,9,5,6,4,1,5,1,1,6,10,3,7,6,5,1,4,3,1,6
"Special Game",9,8,5,6,9,9,7,3,4,9,3,1,8,6,10,2,9,9,9,8,6,9,2,0,1
"Support the Team",6,8,6,4,4,10,6,6,1,2,7,9,7,2,5,3,6,5,8,1,8,6,3,5,6
"Other Promotion",2,7,1,8,7,4,7,9,1,6,10,5,1,6,6,4,3,8,3,6,7,8,8,1,5
"See a concert",7,1,2,7,3,7,2,1,2,8,8,3,0,4,8,3,5,10,9,7,5,6,8,4,10
"See a concert",10,8,7,5,0,0,5,8,5,1,3,9,5,7,6,4,1,10,7,6,6,5,6,10,7
"Support the opposing team",4,10,4,8,4,5,0,10,9,8,8,3,9,6,5,0,3,3,6,10,2,1,5,4,7
"No distinct reason",7,8,5,5,4,4,6,3,5,8,0,10,5,3,9,1,2,6,10,6,9,2,1,5,7
"Company outing",4,0,8,5,4,3,9,9,7,1,4,4,3,4,1,6,6,6,7,3,2,6,6,2,4
"See my friends",9,5,10,7,10,2,7,0,5,8,4,6,2,6,2,8,8,2,1,5,3,2,9,8,2
"Company outing",5,2,4,3,8,8,1,9,1,9,9,1,8,0,1,3,9,1,10,4,6,6,2,6,2
"Celebrate a birthday",5,9,1,6,2,10,2,5,9,3,4,10,1,6,1,0,4,10,6,8,9,6,2,5,6
"I was given tickets",5,4,5,5,2,2,7,9,3,4,9,7,7,9,8,1,8,7,6,3,0,8,6,5,9
"Celebrate an anniversary",9,10,6,6,6,7,8,10,1,6,2,4,3,4,7,8,8,6,4,9,9,4,0,4,2
"Support the Team",10,4,1,9,3,3,5,2,4,5,4,1,8,9,5,7,4,5,4,8,8,5,6,8,7
"Family outing, with children",7,2,6,0,0,1,3,10,7,5,0,8,8,5,5,1,6,9,8,6,3,3,5,7,9
"Celebrate an anniversary",6,0,5,9,3,6,3,9,1,6,7,1,4,5,0,0,3,2,8,1,8,8,4,7,5
"Other Promotion",1,1,5,9,2,1,5,1,3,4,8,5,9,7,6,2,5,0,4,3,5,7,1,1,4
"Special Game",7,7,9,7,4,7,8,10,1,4,5,4,1,3,4,7,6,0,9,4,8,8,10,0,3
"Celebrate an anniversary",6,6,1,5,5,6,8,7,7,7,2,7,10,6,4,6,4,5,0,9,8,6,2,1,4
"Visit the park",4,1,0,9,10,8,9,2,8,6,0,2,0,1,9,6,1,3,1,9,2,4,9,7,7
"Celebrate a birthday",3,4,5,1,5,10,8,10,7,9,4,6,5,2,8,4,9,8,1,0,9,7,5,0,6
"Special Game",9,1,2,7,10,7,5,1,3,8,6,4,5,3,8,1,3,9,1,3,9,9,2,1,3
"See my friends",1,2,0,9,3,4,2,5,1,2,5,1,6,6,0,3,1,1,2,1,4,4,7,0,3
"Celebrate a birthday",9,7,2,2,2,7,8,3,3,5,2,6,6,8,7,2,7,8,2,1,4,4,4,8,9
"Celebrate a birthday",6,8,7,2,3,2,3,3,3,1,9,10,1,5,7,7,2,10,4,3,1,4,1,7,3
"Visit the park",2,7,0,4,9,9,8,5,3,6,1,8,2,3,2,1,10,4,1,7,5,8,7,7,5
"Other Promotion",0,8,8,9,7,9,8,3,6,9,2,6,10,5,9,4,1,4,0,1,3,1,4,3,1
"I was given tickets",5,1,1,3,4,4,6,7,1,2,0,4,7,2,5,4,1,7,6,2,7,8,3,1,4
"Special Game",6,3,0,2,9,1,3,8,7,9,4,1,3,8,1,0,2,3,2,4,4,1,7,6,1
"Special Game",7,10,0,2,5,5,7,8,1,6,9,6,10,7,3,1,0,7,10,9,10,1,4,9,5
"Celebrate a birthday",8,7,7,10,0,8,10,3,3,2,0,5,9,2,1,3,4,6,2,3,8,4,1,4,8
"See my friends",9,6,4,3,7,7,7,1,1,5,1,2,4,8,8,5,8,3,10,4,3,5,6,5,5
"See my friends",0,7,6,2,3,4,3,10,8,1,9,6,8,4,1,5,9,3,4,4,9,2,10,6,7
"I was given tickets",2,4,6,1,8,4,5,8,5,3,8,3,2,0,8,6,4,2,5,7,4,8,7,1,8
"I was given tickets",6,7,8,5,1,0,2,7,5,3,3,6,3,4,0,6,10,6,10,0,5,4,1,5,2
"Celebrate a birthday",0,9,8,9,3,5,2,5,5,1,3,3,9,4,8,6,2,1,5,1,8,10,7,3,7
"No distinct reason",9,4,6,8,7,1,7,5,4,5,1,6,5,1,2,6,7,1,2,10,7,5,3,2,2
"Family outing, with children",4,5,1,0,0,0,0,9,9,3,4,3,10,8,9,3,3,1,3,10,10,9,9,8,5
"Visit the park",2,9,6,0,5,8,3,6,5,6,2,4,9,4,4,5,3,9,2,8,8,6,1,5,9
"See my friends",2,10,8,10,8,9,1,8,7,7,8,2,2,1,2,8,10,9,9,5,1,10,4,1,0
"I was given tickets",9,4,3,9,7,10,1,3,0,5,4,6,4,5,9,0,9,7,8,6,1,7,8,7,3
"Celebrate an anniversary",8,2,2,1,3,4,7,6,8,4,4,7,1,3,1,2,0,7,7,5,8,9,8,7,8
"Special Game",0,7,2,7,8,0,3,2,9,8,7,4,0,1,5,8,8,9,9,9,9,7,4,0,0
"Support the Team",9,5,10,8,8,1,3,5,3,6,2,10,4,8,5,1,7,6,9,5,4,5,5,4,6
"Support the opposing team",10,7,9,8,5,5,0,10,6,5,2,4,4,4,4,6,8,7,8,6,5,5,3,9,8
"Family outing, with children",8,8,2,3,10,4,7,2,8,10,9,2,10,3,4,5,5,8,4,1,9,9,8,0,3
"Celebrate a birthday",4,7,2,8,6,6,8,8,6,7,1,2,1,9,7,5,2,4,3,3,2,6,8,8,1
"Family outing, with children",4,1,4,4,7,6,8,7,6,6,6,6,2,6,9,1,8,0,5,4,3,1,1,4,10
"I was given tickets",9,7,8,1,7,10,4,2,3,1,3,3,8,7,8,4,7,9,0,10,1,1,10,8,0
"Support the opposing team",7,8,7,5,3,8,5,3,10,3,4,8,4,6,7,6,9,3,10,1,6,7,9,7,9
"Celebrate an anniversary",7,9,9,0,1,0,4,7,1,1,7,7,6,6,7,0,4,10,4,4,5,9,7,10,2
"I was given tickets",3,9,8,2,2,1,1,2,1,5,7,9,8,3,8,4,2,2,2,7,7,8,4,5,3
"Company outing",9,7,9,8,3,8,6,4,4,8,7,0,8,2,1,5,0,8,0,8,3,1,7,9,8
"Celebrate an anniversary",4,5,4,9,3,8,5,0,9,7,6,5,9,4,1,8,8,10,2,8,9,4,4,1,4
"Visit the park",1,1,4,4,2,8,4,1,3,4,8,2,9,3,10,3,5,0,2,1,8,4,0,3,10
"Support the Team",2,4,7,10,2,10,7,1,6,4,5,7,3,1,7,10,2,6,0,7,3,8,8,4,6
"Celebrate a birthday",6,6,6,5,3,2,7,7,3,3,2,3,0,2,6,7,6,6,6,8,5,6,9,6,2
"Celebrate an anniversary",4,6,7,3,7,5,8,2,4,7,4,7,10,0,10,1,4,3,0,3,7,2,0,5,6
"Support the Team",1,4,4,8,5,2,1,7,5,7,10,3,9,1,9,4,3,1,6,5,6,6,6,8,3
"Family outing, no children",9,0,4,5,0,8,8,3,10,5,6,0,1,8,5,4,4,1,1,5,1,5,6,7,9
"Celebrate an anniversary",1,1,5,6,0,3,9,9,5,7,9,10,1,8,8,2,7,4,1,3,6,3,9,4,6
"Company outing",7,1,4,4,6,3,4,4,7,10,2,4,3,1,7,1,1,8,5,7,9,2,1,1,8
"Celebrate an anniversary",8,10,6,1,6,6,7,2,9,8,9,2,7,7,7,7,8,5,9,5,8,6,6,5,2
"Family outing, with children",4,1,3,0,5,8,6,5,2,2,3,6,5,2,0,2,4,1,8,5,5,5,3,0,1
"See a concert",1,4,2,2,3,1,5,4,3,1,6,1,6,1,2,4,9,8,10,7,4,3,6,1,2
"No distinct reason",3,5,1,5,5,1,3,2,6,3,8,1,9,5,0,9,4,6,2,7,1,2,6,1,10
"Other Promotion",6,2,0,1,3,9,5,4,4,5,5,2,2,10,1,7,9,5,2,7,6,4,4,3,4
"No distinct reason",8,4,8,8,1,1,5,5,10,1,2,6,3,8,8,1,1,1,9,5,0,4,2,4,9
"See my friends",6,2,4,8,9,9,5,2,7,7,2,5,3,4,9,2,3,3,9,3,3,4,8,5,6
"Celebrate a birthday",9,8,6,10,6,2,0,1,2,9,1,8,2,6,5,7,7,9,5,6,8,6,8,8,3
"Family outing, no children",5,1,2,6,8,5,7,4,7,9,4,6,2,1,6,8,3,2,7,1,6,5,1,3,5
"Support the Team",3,8,8,7,7,9,2,7,7,0,5,1,4,2,4,5,2,9,6,5,3,0,4,6,3
"I was given tickets",5,3,3,8,3,2,9,1,3,5,2,1,5,9,9,7,4,7,9,7,4,0,4,7,3
"Special Game",1,1,5,4,5,4,4,0,3,10,10,4,7,10,7,9,8,6,9,10,3,2,4,7,7
"Support the opposing team",3,7,2,0,2,8,3,5,10,1,5,0,3,9,3,5,6,9,4,8,4,6,0,3,1
"No distinct reason",2,5,4,3,9,6,7,2,7,1,8,3,8,4,2,7,7,5,5,0,6,8,6,5,9
"Family outing, with children",6,5,3,7,1,9,7,7,3,3,7,3,8,8,1,9,5,7,1,2,5,2,0,2,5
"See a concert",10,8,0,9,1,10,2,9,5,5,9,4,5,5,4,6,3,6,9,3,9,10,5,2,1
"Family outing, no children",7,2,5,5,8,4,8,10,6,4,2,7,2,5,0,0,5,3,0,10,7,9,10,3,2
"Other Promotion",10,10,8,1,5,5,4,5,0,5,2,9,8,6,6,3,2,2,4,3,8,8,5,5,9
"Family outing, no children",3,6,7,8,8,0,2,5,9,8,7,1,9,9,3,0,7,5,9,2,7,6,5,3,10
"See a concert",3,2,5,3,3,5,6,1,5,5,7,10,4,8,8,2,4,3,5,7,5,9,3,3,3
"Other Promotion",4,3,8,3,8,9,9,1,3,3,4,6,6,3,0,7,5,6,5,4,3,4,7,9,10
